problem,n,m,success,objective,infeasibility,evaluations,time,exit_code,message
GAUSSIAN,3,0,True,1.1654995723361305e-08,0.0,6,0.00011372566223144531,3,Function tolerance reached
GBRAINLS,2,0,True,28.515858943490468,0.0,20,0.008077383041381836,3,Function tolerance reached
GENHS28,10,8,False,1.6478756401674877e-15,4.000000032180449,47,0.01225900650024414,4,Infeasible solution
GENROSE,500,0,True,303.5736739041359,0.0,326,10.480319738388062,3,Function tolerance reached
GENROSEB,500,0,False,nan,nan,nan,nan,,Optimization error: 
GENROSEBNE,500,998,False,nan,nan,nan,nan,,Optimization error: 
GIGOMEZ1,3,3,False,-1174632684030.8223,2.4816349262009132e+23,22,0.0020830631256103516,3,Infeasible solution
GIGOMEZ2,3,3,False,1.397108533211482e-06,758.3634035097568,56,0.004410982131958008,4,Infeasible solution
GIGOMEZ3,3,3,False,1.397108533211482e-06,6842.03853859568,56,0.004408359527587891,4,Infeasible solution
GMNCASE1,175,300,False,-1.5034559127005998,0.1738644709967164,19,5.961176633834839,3,Infeasible solution
GMNCASE4,175,350,False,-2576.6862084006375,14.789433362102315,88,30.151067972183228,6,Infeasible solution
GOFFIN,51,50,False,-3983152294990.928,68718699378930.79,24,0.45377111434936523,3,Infeasible solution
GOTTFR,2,2,False,0.0,0.1803342261452734,32,0.0010144710540771484,3,Infeasible solution
GOULDQP1,32,17,False,-20174.80927498133,212.3629311981227,130,0.14504337310791016,3,Infeasible solution
GROUPING,100,125,False,1.2841836941870408e-10,1.8227801251581004,63,1.803312063217163,4,Infeasible solution
GROWTH,3,12,False,0.0,123.19995387966259,74,0.00846409797668457,3,Infeasible solution
GROWTHLS,3,0,True,3542.14903046,0.0,14,0.0001544952392578125,3,Function tolerance reached
GULF,3,0,True,8.260382690585247e-05,0.0,34,0.0018701553344726562,3,Function tolerance reached
GULFNE,3,99,False,0.0,5.675636042335002,156,0.18674039840698242,3,Infeasible solution
HADAMALS,380,0,True,7960.238425164664,0.0,6,0.329456090927124,3,Function tolerance reached
HAHN1,7,236,False,0.0,30.967049421334895,55,0.2847881317138672,3,Infeasible solution
HAHN1LS,7,0,True,307080.2410068991,0.0,15,0.0006787776947021484,3,Function tolerance reached
HAIFAM,99,150,False,-0.5000000000511589,4.6673163996869045,14,0.6157271862030029,3,Infeasible solution
HAIFAS,13,9,False,0.0,0.0,1001,0.6571946144104004,5,Optimization failed
HAIRY,2,0,True,20.000000000002927,0.0,41,0.00034046173095703125,3,Function tolerance reached
HALDMADS,6,42,False,1.8188506580022332,2370.759159824231,27,0.051166534423828125,3,Infeasible solution
HART6,6,0,True,-3.3228581626945686,0.0,35,0.0006611347198486328,3,Function tolerance reached
HATFLDA,4,0,True,3.098901782903753e-12,0.0,27,0.0004925727844238281,3,Function tolerance reached
HATFLDANE,4,4,False,0.0,0.970264560499229,38,0.004092216491699219,3,Infeasible solution
HATFLDB,4,0,True,0.00557280947965669,0.0,21,0.000370025634765625,3,Function tolerance reached
HATFLDBNE,4,4,False,0.0,0.970264560499229,38,0.0028128623962402344,3,Infeasible solution
HATFLDC,25,0,True,8.952890443827159e-07,0.0,38,0.002791881561279297,3,Function tolerance reached
HATFLDCNE,25,25,False,0.0,0.4736032094485846,48,0.07178783416748047,3,Infeasible solution
