problem,n,m,status,obj,constraint,iter,count_cost,total_time,message
HS34,3,2,0,-6.222645436545811e-06,0.9999923392277986,56,1000,0.017514467239379883,
HS35,3,1,1,0.11111837761099519,0.0,4,57,0.0036268234252929688,
HS35I,3,1,1,0.11111837761099519,0.0,4,57,0.003755331039428711,
HS35MOD,2,1,1,0.25000085219491774,0.0,2,25,0.003369569778442383,
HS36,3,1,1,-3299.9554338711873,0.0,2,45,0.003457784652709961,
HS37,3,2,1,-3455.9526134580824,0.0,2,45,0.008619546890258789,
HS38,4,0,1,1.066376751546939e-06,0.0,4,128,0.005126476287841797,
HS39,4,2,1,-0.999998581203525,4.695685091041688e-07,8,204,0.008722543716430664,
HS3MOD,2,0,1,3.2680862161761846e-06,0.0,3,47,0.0033719539642333984,
HS4,2,0,1,2.666681911515917,0.0,2,30,0.0029795169830322266,
HS40,4,3,1,-0.24995732758107067,3.420788346115294e-07,3,51,0.007868289947509766,
HS41,4,1,1,1.928473155225353,5.392952751037683e-11,1,56,0.004675865173339844,
HS42,4,2,1,13.857863864164731,2.019912184181294e-07,5,99,0.01030111312866211,
HS43,4,3,1,-41.364183578513554,0.0,73,1000,0.017222166061401367,
HS44,4,6,0,0.0,5.123475382979799e+20,50,1000,0.016986608505249023,
HS44NEW,4,6,1,-14.999740892687592,0.0,4,116,0.008640289306640625,
HS45,5,0,1,1.0000097433992063,0.0,4,191,0.004065752029418945,
HS46,5,2,1,1.8324295121454866e-07,7.068006240034615e-07,5,265,0.010263204574584961,
HS47,5,3,1,-0.02671418226991068,9.311052592529855e-12,11,420,0.011609077453613281,
HS48,5,2,1,9.74488649059059e-21,1.7761647759814736e-10,2,51,0.014988899230957031,
HS49,5,2,1,2.1575932512684523e-07,7.234834226023463e-10,3,135,0.018844127655029297,
HS5,2,0,1,-1.9132229530474836,0.0,2,26,0.0050776004791259766,
HS50,5,3,1,4.098839241863964e-11,1.8188279895803376e-11,3,98,0.015455007553100586,
HS51,5,3,1,4.634591275940887e-12,5.721999427355961e-11,2,39,0.0250704288482666,
HS52,5,3,1,5.3266484670219425,1.8105574706159696e-10,2,41,0.01798701286315918,
HS53,5,3,1,4.09302325785036,1.5508140324839227e-10,2,44,0.013300180435180664,
HS54,6,1,1,-0.15395198503310928,1.1803422239609063e-08,1,27,0.003602743148803711,
HS55,6,6,0,3e+20,4.0311288741492746e+20,42,1000,0.023214101791381836,
HS56,7,4,1,-1.2500934499576954,1.0989753092062603e-10,22,1000,0.019133329391479492,
HS57,2,1,1,0.030752952652235172,0.0,1,4,0.004363298416137695,
HS59,2,3,1,-7.802787908288515,0.0,75,1000,0.02207803726196289,
HS6,2,1,1,2.5000003727346394e-11,1.2913192737329382e-09,8,120,0.0063936710357666016,
HS60,3,1,1,0.032568200508550665,2.770274232233305e-09,5,83,0.004971742630004883,
HS61,3,2,1,-143.6458390996432,8.727739511046634e-07,32,489,0.021261215209960938,
HS62,3,1,1,-26272.514218093664,5.213537934700696e-13,3,38,0.004440784454345703,
HS63,3,2,1,961.7334603123943,8.011388761275387e-07,33,360,0.012204647064208984,
HS64,3,1,0,266033.5601143999,154.9988000119999,56,1000,0.019162893295288086,
HS65,3,1,1,3.7146152151330503,0.0,82,1000,0.021547794342041016,
HS66,3,2,0,0.9999950218836507,0.9999923392277986,56,1000,0.022681474685668945,
HS67,3,14,1,-1162.1080440755632,0.0,5,123,0.025545358657836914,
HS68,4,2,1,-0.9203766624676757,9.153052951874607e-07,26,503,0.01880359649658203,
HS69,4,2,1,-956.7092789752861,2.1301112059500927e-08,4,83,0.011671066284179688,
HS7,2,1,1,-1.7320508075516439,4.205036319149258e-11,7,86,0.0061457157135009766,
HS70,4,1,1,0.008783173463378003,0.0,3,92,0.007124900817871094,
HS71,4,2,-3,77.17905642831693,4.154543375989306e-11,12,318,0.014303207397460938,
HS72,4,2,0,5.00001,7.671590526424404,50,1000,0.0252838134765625,
HS73,4,3,1,29.896566181605866,5.10702591327572e-15,3,91,0.009244680404663086,
HS74,4,5,1,5126.498110714758,3.220805281445096e-07,7,83,0.007285594940185547,
